,sideefect
8161,oral cavity cancer metastatic
8162,metastases to the mediastinum
8163,lupus pneumonitis
8164,bicuspid pulmonary valve
8165,tinea faciei
8166,ciliary body degeneration
8167,penoscrotal transposition
8168,abscess management
8169,international normalised ratio normal
8170,spinal cord compression
8171,product process control issue
8173,electrocardiogram q waves
8174,intravascular papillary endothelial hyperplasia
8175,brain death
8176,coagulation time
8177,hip surgery
8178,oropharyngeal cancer stage unspecified
8179,perineal operation
8180,perineal injury
8181,blood pressure ambulatory decreased
8182,total lung capacity increased
8183,anticonvulsant drug level abnormal
8184,physical assault
8185,aneurysm recanalisation
8186,iridectomy
8187,b-lymphocyte count decreased
8188,atypical mycobacterial lymphadenitis
8189,drug delivery device removal
8190,marasmus
8191,stoma site granuloma
8193,enterobacter test positive
8194, persecutory type
8195,basophil percentage decreased
8196,anaphylactic shock
8197,sinus bradycardia
8198,basal ganglion degeneration
8199,aspergillus test positive
8200,enterovirus infection
8201,perineal repair breakdown
8202,product name confusion
8204,herpes zoster meningoencephalitis
8205,lymph nodes scan abnormal
8206,malignant lymphoma unclassifiable high grade
8207,tardive dyskinesia
8208,cystitis erosive
8209,splenic infection fungal
8210,cranioplasty
8211,catheter related complication
8212,metastases to pancreas
8213,biopsy breast abnormal
8214,sleep sex
8215,solitary kidney
8216,phobia
8217,dementia alzheimer^s type
8218,accidental exposure to product packaging
8219,contraception
8221,feeling hot and cold
8222,metastases to prostate
8223,germ cell neoplasm
8224,mineral metabolism disorder
8225,glioblastoma
8226,muscle injury
8227,morbid thoughts
8228,blood product transfusion
8229,asterixis
8230,urinary tract infection staphylococcal
8231,venous pressure jugular
8232,intracerebral haematoma evacuation
8234,anal infection
8235,acquired bronchial cyst
8236,instillation site erosion
8237,spermatozoa progressive motility decreased
8238,tooth demineralisation
8239,genital erosion
8240,cells in urine
8241,injection site joint redness
8242,trance
8243,thyroplasty
8244,electrocardiogram t wave inversion
8245,reflex test abnormal
8246,presumed ocular histoplasmosis syndrome
8247,vertebral artery aneurysm
8248,sequestrectomy
8249,candida test positive
8250,pulmonary arteriopathy
8251,social avoidant behaviour
8252,coma scale normal
8253,nail psoriasis
8255,impaired ability to use machinery
8256,fluid overload
8257,sputum discoloured
8258,bronchopulmonary disease
8259,mixed receptive-expressive language disorder
8260,nonketotic hyperglycinaemia
8261,blood chromogranin a
8262,therapeutic product ineffective for unapproved indication
8263,bone decalcification
8264,gestational trophoblastic detachment
8265,ankle impingement
8266,adrenocorticotropic hormone deficiency
8267,cutaneous amyloidosis
8268,aorto-iliac arterial stenosis
8269,injection site pallor
8270,human papilloma virus serology test positive
8271,chylomicron increased
8272,cervicectomy
8273,instillation site hypoaesthesia
8274,maintenance of anaesthesia
8275,appendicitis perforated
8276,drug-device interaction
8277,diverticular fistula
8278,kinesitherapy
8279,normal delivery
8280,piriformis syndrome
8281,myofascial pain syndrome
8282,seminal vesicle operation
8283,positive expiratory pressure therapy
8284,polyglandular disorder
8285,stoma site abscess
8286,ovarian remnant syndrome
8287,penetrating atherosclerotic ulcer
8288,amniotic fluid embolus
8289,rash papulosquamous
8290,imminent abortion
8291,pneumonia klebsiella
8292,joint arthroplasty
8293,volvulus
8294,autoimmune pancreatitis
8295,boredom
8296,radial nerve palsy
8297,transurethral resection syndrome
8298,cardiac septal defect residual shunt
8299,incision site pain
8300,fibrocystic breast disease
8301,amoebic lung abscess
8303,aspiration pleural cavity abnormal
8304,herpes simplex pneumonia
8305,trachoma
8307,postoperative thoracic procedure complication
8308,musculoskeletal foreign body
8309,alveolar aeration excessive
8310,clear cell endometrial carcinoma
8311,stasis syndrome
8312,amputation stump pain
8313,application site acne
8314,vaginal pain
8315,buried penis syndrome
8316,biopsy small intestine
8317,tracheobronchial stent insertion
8318,ophthalmia neonatorum
8319,bilirubin conjugated abnormal
8320,medullary thyroid cancer
8321,prophylaxis against diarrhoea
8322,enterococcus test positive
8324,stubbornness
8326,gastric hypertonia
8327,feeling jittery
8328,paranoia
8329,soft tissue inflammation
8330,obstructed labour
8331,malignant melanoma stage ii
8332,hypoglossal nerve paresis
8333,post thrombotic syndrome
8334,therapeutic procedure
8335,virus serology test positive
8338,motor dysfunction
8339,malacoplakia vesicae
8340,infection reactivation
8341,implant site discolouration
8342,incarcerated hernia repair
8344,human rhinovirus test
8345,antiandrogen therapy
8346,vaginal erosion
8347,cardiac valve prosthesis user
8348,mesenteric venous occlusion
8349,apache ii score
8350,palatal implant
8351,biopsy
8352,calyceal diverticulum
8353,clear cell carcinoma of the kidney
8354,omental necrosis
8355,administration site ischaemia
8357,hypervolaemia
8358,band neutrophil count decreased
8359,congenital pancreatic anomaly
8360,portal triaditis
8361,masked facies
8362,myometritis
8363,post transfusion purpura
8364,emphysematous cholecystitis
8366,laryngitis viral
8367,procalcitonin
8368,hernia repair
8369,neoplasm prophylaxis
8371,anaesthetic complication
8372,necrosis of artery
8373,arterial rupture
8374,pelvic floor muscle training
8375,papillary muscle infarction
8376,ear canal stenosis
8377,lactation puerperal increased
8378,pharyngeal neoplasm
8379,pancreatitis relapsing
8380,enterovirus test negative
8381,electronic cigarette user
8382,contact lens deterioration
8383,oesophageal mucosal blister
8384,substance abuser
8385,ventilation/perfusion scan abnormal
8386,otitis media viral
8387,malignant neoplasm of ampulla of vater
8388,sphingomonas paucimobilis infection
8389,walking distance test normal
8390,eosinophil count increased
8392,lobular breast carcinoma in situ
8393,preventive surgery
8395,antinuclear antibody increased
8396,platelet aggregation
8397,schizophrenia
8398,meningeal neoplasm
8399,tympanometry abnormal
8400,ventricular septal defect acquired
8401,spermatozoa morphology abnormal
8402,gulf war syndrome
8403,leucine aminopeptidase decreased
8404,skin texture abnormal
8405,spleen palpable
8406,combined hyperlipidaemia
8407,primary cough headache
8408,ureteral spasm
8409,computerised tomogram abdomen
8410,blepharoplasty
8411,sinus polyp degeneration
8412,spinal operation
8413,mastoid effusion
8414,tonsillar exudate
8415,malignant neoplasm of conjunctiva
8416,mesangioproliferative glomerulonephritis
8417,human anti-mouse antibody increased
8418,hypertrophic anal papilla
8419,cerebral ventricular rupture
8420,mitochondrial dna depletion
8421,sclerema
8423,pleural operation
8424,hypoaesthesia
8425,procoagulant therapy
8426,factor vii inhibition
8427,dermoid cyst of ovary
8428,protein albumin ratio
8429,adhesiolysis
8430,palatal ulcer
8431,hypohidrosis
8432,corneal erosion
8434,radical hysterectomy
8435,av dissociation
8436,congenital anomaly of inner ear
8437,substance use
8438,male genital tract fistula
8439,medication crystals in urine
8440,postpartum stress disorder
8441,spleen malformation
8442,pancreatic carcinoma stage i
8443,loss of dreaming
8444,ventriculo-vascular shunt
8446,histamine level decreased
8447,nipple pain
8448,lens abnormality
8449,dermatitis exfoliative generalised
8450,brain contusion
8451,postoperative thrombosis
8452,catheter culture
8453,hyposthenuria
8454,radiosensitisation therapy
8455,rhinoplasty
8456,mineral supplementation
8457,signet-ring cell carcinoma
8458,childhood disintegrative disorder
8459,anorectal agenesis
8460,appendiceal abscess
8461,thoracic haemorrhage
8462,biliary tract operation
8463,lung squamous cell carcinoma stage 0
8464,drug screen positive
8465,osteonecrosis of jaw
8466,thromboembolectomy
8467,bronchial injury
8468,tuberculoma of central nervous system
8469,endocrine ophthalmopathy
8470,rhinitis hypertrophic
8471,pancreatic steatosis
8472,adrenal insufficiency neonatal
8473,instillation site pustules
8474,toxoplasma serology
8475,pneumococcal sepsis
8476,imaging procedure
8477,rectal polypectomy
8478,multiple lentigines syndrome
8479,proteus test positive
8480,atopy
8481,joint instability
8482,memory impairment
8483,ureteric perforation
8484,diabetic foetopathy
8485,uterine inversion
8486,mandibulectomy
8487,electrocardiogram t wave normal
8488,enterovirus test positive
8489,chronic kidney disease
8490,infectious peritonitis
8491,intraocular lens implant
8492,diet refusal
8493,renal artery stent removal
8494,small airways disease
8495,polydipsia
8496,benzodiazepine drug level abnormal
8497,tachyarrhythmia
8498,aneurysmal bone cyst
8499,gliosarcoma
8500,blood urine present
8501,indwelling catheter management
8502,conjunctival primary acquired melanosis
8503,stent-graft malfunction
8504,application site wound
8505,thrombotic cerebral infarction
8506,reaction to preservatives
8507,pneumonia fungal
8508,ganglion
8509,hypophysitis
8510,hepatitis b e antibody positive
8511,fistula of small intestine
8512,enterocolitis haemorrhagic
8513,allergic reaction to excipient
8514,fracture pain
8515,placental neoplasm
8516,otitis externa bacterial
8517,brain stem syndrome
8518,transfusion associated graft versus host disease
8519,narcissistic personality disorder
8520,retinal detachment
8521,hypergonadism
8522,vascular wall hypertrophy
8523,mouth ulceration
8524,infusion site joint effusion
8525,blood potassium
8526,breech extraction
8527,lysinuric protein intolerance
8528,gum neoplasm malignant stage unspecified
8529,finger hypoplasia
8530,mixed dementia
8531,rebound atopic dermatitis
8532,pulmonary haemorrhage
8533,urostomy
8534,duplicate therapy error
8535,therapeutic agent-diagnostic test interaction
8536,cystopexy
8537,paraneoplastic nephrotic syndrome
8538,microbiology test abnormal
8539,myeloblast percentage
8540,vaginal discharge
8541,vasogenic cerebral oedema
8542,lymphocytic hypophysitis
8543,csf protein
8544,finger repair operation
8545, with delirium
8546,optic nerve cup/disc ratio decreased
8547,trisomy 8
8548,trisomy 9
8549,heart valve insufficiency
8550,asymptomatic hiv infection
8551,paroxysmal perceptual alteration
8552,neurolysis chemical
8553,lactose intolerance
8554,hernia diaphragmatic repair
8555,peritoneal tuberculosis
8556,renal cancer stage iii
8557,papulopustular rosacea
8558,open wound
8559,post treatment lyme disease syndrome
8560,femoral arterial stenosis
8561,lupus vulgaris
8562,myeloblast count decreased
8563,acquired corneal dystrophy
8564,calculus bladder
8565,jaundice neonatal
8566,herpes simplex meningomyelitis
8567,oral hyperaesthesia
8569,venous lake
8570,foetal heart rate abnormal
8571,functional residual capacity decreased
8572,pelvic discomfort
8573,anophthalmos
8574,hepatitis post transfusion
8575,gastro-jejunostomy
8576,parathyroid gland enlargement
8577,cell marker increased
8578,enchondromatosis
8580,urine potassium decreased
8581,corneal epithelial microcysts
8582,subvalvular aortic stenosis
8583,abdominal wall neoplasm malignant
8584,blood albumin
8585,cryofibrinogenaemia
8586,renal vein occlusion
8587,reduced facial expression
8588,urate nephropathy
8589,clitoral engorgement
8590,colonic haemorrhage
8591,gait inability
8592,otoacoustic emissions test abnormal
8593,aminoaciduria
8594,sympathectomy
8595,pulmonary lymphangiectasia
8596,corneal perforation
8597,troponin t
8598,overweight
8599,blood arsenic increased
8600,pericardial drainage test abnormal
8601,epiglottis ulcer
8602,joint irrigation
8603,human herpes virus 6 serology
8604,splenic marginal zone lymphoma
8605,abdominal panniculectomy
8606,leukaemia plasmacytic
8607,diabetic enteropathy
8608,respiratory tract oedema
8609,atelectasis neonatal
8610,chorioretinopathy
8611,dental implantation
8612,intrinsic factor antibody positive
8613,cytomegalovirus chorioretinitis
8614,hypopituitarism
8615,familial risk factor
8616,mesomelia
8617,engraft failure
8618,medical device complication
8619,fat redistribution
8620,massage
8621,aneurysm perforation
8622,dislocation of joint prosthesis
8623,pco2 abnormal
8624,soft tissue haemorrhage
8625,bile duct cancer stage iii
8626,nasal flaring
8627,blood uric acid
8628,food interaction
8629,acute prerenal failure
8630,oscillopsia
8631,erythroblast morphology abnormal
8632,renal artery stenosis
8633,residual ovary syndrome
8634,cervicobrachial syndrome
8635,subclavian steal syndrome
8636,visual field defect
8637,solvent sensitivity
8639,lip and/or oral cavity cancer
8640,haemodialysis-induced symptom
8641,peripheral nerve injection
8642,blood amylase abnormal
8643,uterine fibroid embolisation
8644,radiation cataract
8645,taeniasis
8646,foreign body in respiratory tract
8647,retirement
8648,familial haemophagocytic lymphohistiocytosis
8649,intracranial venous sinus thrombosis
8650,furuncle
8651,trichodysplasia spinulosa
8652,nail discomfort
8653,head and neck cancer stage iii
8654,vaginal atresia
8655,carbohydrate antigen 15-3
8656,hypersplenism
8657,antidiuretic hormone abnormality
8658,biliary tract infection cryptosporidial
8659,manufacturing materials contamination
8660,bone fragmentation around implant
8661,bone marrow necrosis
8662,cytomegalovirus myocarditis
8663,therapeutic response unexpected with drug substitution
8664,limb hypoplasia congenital
8665,staphylococcal impetigo
8666,injury asphyxiation
8667,soliloquy
8668,endometritis bacterial
8669,prothrombin level abnormal
8670,anterior chamber cell
8671,congenital floppy infant
8672,adrenal carcinoma
8673,peritonitis sclerosing
8674,mast cell activation syndrome
8675,fontanelle bulging
8676,fungal tracheitis
8677,episcleral hyperaemia
8678,acquired epileptic aphasia
8679,testicular operation
8680,sporotrichosis
8681,brain herniation
8682,impaired fasting glucose
8683,nail disorder
8684,myopathy endocrine
8685,pancreatic islets hyperplasia
8687,red blood cell count abnormal
8688,major depression
8689,general nutrition disorder
8690,blood magnesium abnormal
8691,brachial pulse increased
8692,toxic neuropathy
8693, visual
8694,salpingostomy
8695,uterine dilation and curettage
8696,meningitis haemophilus
8697,nasal cavity packing
8698,cerebellar cognitive affective syndrome
8699,benign neoplasm of islets of langerhans
8700,nephropathy toxic
8701,medical device site warmth
8702,pineal neoplasm
8703,renal cyst ruptured
8704,acholia
8705,steroid withdrawal syndrome
8706,pseudostrabismus
8707,scleral graft
8708,tattoo excision
8709,histology
8710,gastroenteritis rotavirus
8711,urine cytomegalovirus positive
8712,coma scale abnormal
8713,labyrinthitis
8714,terminal insomnia
8715,pneumococcal immunisation
8716,sturge-weber syndrome
8717,pneumatic compression therapy
8718,chondromatosis
8719,posterior reversible encephalopathy syndrome
8720,bile duct cancer stage i
8721,renin decreased
8722,exposure to contaminated water
8723,catheter site discharge
8724,pericardial drainage
8725,pco2 decreased
8726,application site pustules
8727,urine output increased
8728,cancer surgery
8729,erythema ab igne
8730,vitreous adhesions
8732,hydroxyproline increased
8733,b-cell small lymphocytic lymphoma stage iv
8734,typhus
8735,bladder tumour resection
8736,thyroxine
8737,pharyngeal cancer stage unspecified
8739,periostosis
8740,scan gallium abnormal
8741,victim of crime
8742,genital labial adhesions
8743,electrolyte substitution therapy
8744,immediate post-injection reaction
8745,bladder neck obstruction
8746,intracranial injury
8747,endocardial disease
8748,rash maculovesicular
8749,mental impairment
8750,chronic villitis of unknown etiology
8751,pilonidal cyst
8752,colon gangrene
8753,schizophreniform disorder
8754,porphyrins urine abnormal
8755,increased ventricular preload
8756,streptococcal bacteraemia
8757,early menarche
8758,allergic respiratory symptom
8759,biopsy lymph gland abnormal
8760,medical device pain
8761,cytomegalovirus antibody
8762,oral leukoedema
8763,pulmonary arterial pressure decreased
8764,vocal cordectomy
8765,vertebroplasty
8766,cardiac rehabilitation therapy
8767,protein urine absent
8768,pelvic deformity
8769,fracture debridement
8770,foetal placental thrombosis
8771,venous oxygen saturation abnormal
8772,night cramps
8773,mycobacterium ulcerans infection
8774,eye infection chlamydial
8775,anaesthesia reversal
8776,premature delivery
8777,blastomycosis
8778,bone marrow tumour cell infiltration
8779,exomphalos
8780,lung volume reduction surgery
8781,impacted fracture
8782,parotid gland haemorrhage
8783,acute myeloid leukaemia (in remission)
8784,urine amylase increased
8785,faecal calprotectin abnormal
8786,ultrasound scan
8787,creatinine renal clearance decreased
8788,subcutaneous haematoma
8789,salivary gland cancer recurrent
8790,tricuspid valve thickening
8791,immunoglobulin g4 related sclerosing disease
8792,aortic wall hypertrophy
8793,blood follicle stimulating hormone normal
8794,chemotherapeutic drug level above therapeutic
8795,lipaemic index score
8796,increased anteroposterior chest diameter
8797,muscle building therapy
8798,primary hyperaldosteronism
8799,vulva injury
8800,low density lipoprotein increased
8801,hepatitis e antigen positive
8802,medical device site burn
8804,intestinal ischaemia
8805,vertebral artery stenosis
8806,coronary artery bypass
8807,product raw material issue
8808,double vessel bypass graft
8810,electrocardiogram pq interval shortened
8812,radial pulse increased
8813,bursitis
8814,cervix haemorrhage uterine
8815,fractional exhaled nitric oxide increased
8816,transurethral bladder resection
8817,pulmonary necrosis
8818,urine zinc
8819,influenza virus test
8820,urticaria pressure
8821,micrographic skin surgery
8822,labour stimulation
8823,injection
8824,anal spasm
8825,pulmonary cavitation
8826,application site excoriation
8827,epidural empyema
8828,heterotaxia
8829,soft tissue swelling
8830,low density lipoprotein decreased
8831,amniotic membrane graft
8832,prostatic acid phosphatase increased
8833,cytopenia
8834,congenital pulmonary valve atresia
8835,xanthochromia
8836,dependent personality disorder
8837,cryoglobulinaemia
8838,communication issue
8839,vaccination site urticaria
8840,pedal pulse absent
8841,radiation alopecia
8842,expiratory reserve volume decreased
8843,blood caffeine
8844,intestinal metastasis
8845,nasal septum haematoma
8846,injection site infection
8847,nasal cavity mass
8848,pulse pressure abnormal
8849,congenital pyloric stenosis
8850,breast feeding
8851,pancreatic carcinoma stage iii
8852,terminal state
8853,urine phosphorus decreased
8854,astrocytoma surgery
8855,hyperreflexia
8856,rotavirus infection
8857,dermatofibrosarcoma protuberans metastatic
8858,lactate pyruvate ratio decreased
8859,pharyngotonsillitis
8860,tendon sheath disorder
8861,sexually inappropriate behaviour
8862,blood pressure fluctuation
8863,bacteria cervical specimen identified
8864,blood urea nitrogen/creatinine ratio increased
8865,stoma site erythema
8866,medical device site laceration
8867,renal haemorrhage
8868,learning disability
8869,rash generalised
8870,intestinal smooth muscle hypertrophy
8871,spider vein
8872,aortic valvotomy
8873,actinomycotic skin infection
8874,hepatitis b virus
8875,eye paraesthesia
8876,diabetic bullosis
8877,biopsy endometrium abnormal
8878,laryngeal operation
8879,skin hypopigmentation
8880,antiacetylcholine receptor antibody
8881,back pain
8882,organ donor
8883,ovarian stromal cancer
8884,pelvic prolapse
8885,granuloma
8886,haemorrhagic tumour necrosis
8887,lower extremity mass
8888,anti-aquaporin-4 antibody
8889,bone scan normal
8890,platelet function test normal
8891,gamma-glutamyltransferase increased
8892,blood testosterone increased
8893,catheter site hypertrophy
8894,orthosis user
8895,ketogenic diet
8896,injection site hyperaesthesia
8897,cd8 lymphocyte percentage increased
8898,ultrasound scan vagina abnormal
8900,apnoeic attack
8901,hypersensitivity myocarditis
8902,urticaria contact
8903,capillary permeability increased
8904,loss of personal independence in daily activities
8905,transvalvular pressure gradient increased
8906,cerebellar haematoma
8907,axonal neuropathy
8909,nephrocalcinosis
8910,streptococcal identification test
8911,traumatic arthrosis
8912,southern tick-associated rash illness
8913,eyeball rupture
8914,poor personal hygiene
8915,solitary kidney secondary
8916,metastases to spine
8917,oral mucosa atrophy
8918,alpha 1 foetoprotein amniotic fluid increased
8919,pregnancy test urine
8920,placental hypertrophy
8921,hepatobiliary carcinoma in situ
8922,poorly differentiated thyroid carcinoma
8923,hepatitis a positive
8924,contact stomatitis
8925,neonatal leukaemia
8926,dysphonia
8927,vulvar dysplasia
8928,viral titre decreased
8929,dialysis related complication
8930,drop attacks
8931,urethral carbuncle
8932,lip and/or oral cavity cancer recurrent
8933,hypothyroidism
8935,progressive facial hemiatrophy
8936,renal cyst excision
8937,epididymal disorder
8938,neurostimulator removal
8939,specific gravity urine increased
8940,carcinoma in situ of skin
8941,ammonia
8942,catheterisation cardiac abnormal
8943,paraoesophageal abscess
8944,biopsy fallopian tube abnormal
8945,eagles syndrome
8946,meniscal degeneration
8947,metastatic ocular melanoma
8948,anaphylaxis prophylaxis
8949,bursa calcification
8950,bursal operation
8951,endovenous ablation
8952,hypertriglyceridaemia
8953,ph body fluid increased
8954,tooth hypoplasia
8955,eunuchoidism
8956,spinal osteoarthritis
8957,csf myelin basic protein abnormal
8959,cardiac contractility modulation therapy
8960,superficial injury of eye
8961,myoglobin blood present
8962,body temperature normal
8963,infected dermal cyst
8964,lacrimal sac cellulitis
8965,putamen haemorrhage
8966,product blister packaging issue
8967,acinar cell carcinoma of pancreas
8968,purulent discharge
8969,blood immunoglobulin g abnormal
8970,hydroureter
8971,urethral perforation
8973,neuroma
8974,brachial plexopathy
8975,anisakiasis
8976,cholelithotomy
8977,macrophage activation
8978,muscle spasms
8979,burning sensation mucosal
8981,type 2 lepra reaction
8982,umbilical cord prolapse
8983,iliac artery rupture
8984,reocclusion
8985,thermal burn
8986,perinephritis
8987,retracted nipple
8988,nausea
8989,early infantile epileptic encephalopathy with burst-suppression
8990,extrapulmonary tuberculosis
8991,visual acuity tests
8992,hand dermatitis
8993,bladder transitional cell carcinoma stage iii
8994,hernia hiatus repair
8995,lung squamous cell carcinoma metastatic
8996,triple negative breast cancer
8997,infusion site nodule
8998,craniotomy
8999,procalcitonin abnormal
9000,cervical gland tuberculosis
9001,spermatic cord pain
9002,pemphigus
9003,cystic fibrosis related diabetes
9004,balanoposthitis
9005,coxsackie virus test positive
9007,subarachnoid haemorrhage neonatal
9008,blood cholesterol decreased
9009,traumatic coma
9010,vagus nerve disorder
9011,diabetic blindness
9012,application site infection
9013,renal function test
9014,ovarian epithelial cancer metastatic
9015,pertussis serology positive
9017,biopsy site unspecified abnormal
9018,precursor b-lymphoblastic lymphoma refractory
9019,radiation thyroiditis
9020,benign respiratory tract neoplasm
9021,laryngeal prosthesis user
9022,cholecystitis acute
9023,adherent leukoma
9024,diaphragmatic injury
9025,dysgraphia
9026,cement embolism
9027,xanthoma
9028,catecholamines urine
9029,deformity of orbit
9030,eyelid degenerative disorder
9031,product adhesion issue
9032,glomerulonephritis chronic
9033,renal fusion anomaly
9034,anterior chamber pigmentation
9035,haematocoele
9036,small fibre neuropathy
9037,hiv test positive
9038,paraneoplastic syndrome
9039,pharyngeal ulceration
9040,macular oedema
9041,nail pigmentation
9042,intraocular lens complication
9043,intention tremor
9044,gastritis haemorrhagic
9045,idiopathic lenticular mucocutaneous pigmentation
9046,gallbladder cancer
9047,influenza like illness
9048,demodicidosis
9049,vaccinia virus infection
9050,ommaya reservoir placement
9051,head deformity
9052,total complement activity decreased
9053,blood cyanide increased
9054,new daily persistent headache
9055,spinal haematoma
9056,osteosarcoma localised
9057,ultrasound antenatal screen
9058,thymus enlargement
9059,antidepressant therapy
9060,blood immunoglobulin g
9061,amylase abnormal
9062,blood prolactin increased
9063,hepatopulmonary syndrome
9064,perinatal hiv infection
9065,pubic rami fracture
9066,vascular graft stenosis
9067,vitamin b2 deficiency
9068,blood immunoglobulin e
9069,csf shunt operation
9070,benign mesothelioma
9071,monocyte count
9072,fusobacterium infection
9073,iridocyclitis
9074,keratolysis exfoliativa acquired
9075,fasciitis
9076,cervix carcinoma stage iii
9077,scrotal pain
9078,implant site pain
9079,blood prolactin abnormal
9080,synoviorthesis
9081,partial mastectomy
9082,spinal disorder
9083,mass excision
9084,erysipeloid
9085,bladder telangiectasia
9086,penile size reduced
9087,antisocial behaviour
9088,aortic disorder
9089,choledochoenterostomy
9090,lipids increased
9091,acinetobacter test positive
9092,synovial rupture
9093,protein induced by vitamin k absence or antagonist ii increased
9094,iliac vein occlusion
9095,rash rubelliform
9096,neobladder surgery
9097,total lung capacity abnormal
9098,malignant melanoma stage iv
9099,gastrointestinal ulcer
9100,light chain analysis
9101,developmental coordination disorder
9102,inflammatory marker test
9103,niemann-pick disease
9104,breast mass
9105,large intestinal polypectomy
9106,breast discomfort
9107,aortic perforation
9108,blood aldosterone decreased
9109,exposure via eye contact
9110,embolectomy
9111,performance status decreased
9112,pelvic fibrosis
9113,ptosis repair
9114,peritoneal hernia
9115,blood fibrinogen abnormal
9116,hepatojugular reflux
9117,intestinal stoma site bleeding
9118,antidepressant drug level decreased
9119,lymphatic obstruction
9120,superficial spreading melanoma stage iii
9121,pityriasis rubra pilaris
9122,benign gastric polyp
9123,anastomotic haemorrhage
9124,amylase decreased
9125,allergy test
9126,gingivectomy
9127,septoplasty
9128,intellectualisation
9129,neonatal hypoxia
9130,transmyocardial revascularisation
9131,cytomegalovirus mucocutaneous ulcer
9132,platelet-large cell ratio decreased
9133,anti factor x antibody positive
9134,aspiration bone marrow abnormal
9135,large cell carcinoma of the respiratory tract stage unspecified
9136,portal shunt procedure
9137,anaplastic large cell lymphoma t- and null-cell types stage i
9138,pseudoparalysis
9139,local reaction
9140,oxygen therapy
9141,jaw lesion excision
9142,chronic graft versus host disease in intestine
9143,fascial operation
9144,blood loss anaemia neonatal
9145,radiotherapy to skin
9146,staphylococcal bacteraemia
9147,retroviral rebound syndrome
9148,galactosaemia
9149,hydroxycorticosteroids increased
9150,cutaneous horn of eyelid
9151,eosinophil count decreased
9152,cosmetic body piercing
9154,pilomatrix carcinoma
9155,blood glucose false positive
9156,red cell distribution width increased
9157,excessive dietary fibre intake
9158,mononucleosis heterophile test
9159,delayed puberty
9160,middle insomnia
9161,dehydroepiandrosterone test
9162,meconium plug syndrome
9163,viral labyrinthitis
9164,salivary gland cancer stage iv
9165,urinary tract abscess
9166,splenorenal shunt procedure
9167,thyroid infarction
9168,optic tract glioma
9169,nail bed injury
9170,atrial appendage resection
9171,skeletal muscle enzymes
9172,pleural mesothelioma malignant recurrent
9173,lip squamous cell carcinoma
9174,mucinous endometrial carcinoma
9175,antiviral drug level above therapeutic
9176,bone metabolism biochemical marker increased
9177,urethritis noninfective
9178,nosophobia
9179,left atrial dilatation
9181,lymphocele
9182,pseudomonas bronchitis
9183,product substitution error
9184,head circumference
9185,injection site bruising
9186,scrotal irritation
9187,icterus index increased
9188,skin induration
9189,urine mercury abnormal
9190,bronchostenosis
9191,corynebacterium bacteraemia
9192,vulval haematoma
9193,cartilage operation
9194,spirochaetal infection
9195,vaginal ph abnormal
9196,hereditary motor and sensory neuropathy
9197,afterbirth pain
9198,endoscopic retrograde cholangiopancreatography abnormal
9199,obstructive pancreatitis
9200,urinary hesitation
9201,ureteric rupture
9202,renal cell carcinoma stage iii
9204,ainhum
9205,crystal nephropathy
9206,facetectomy
9207,migration of implanted drug
9208,hypercalciuria
9209,anticonvulsant drug level therapeutic
9210,congenital nystagmus
9211,mycosis fungoides stage iv
9212,hepatic neoplasm malignant non-resectable
9213,ischaemic stroke
9214,peritoneal haematoma
9215,seminal vesicular calculus
9216,congenital hearing disorder
9217,herpes simplex colitis
9218,psychomotor retardation
9219,radiculitis brachial
9220,gonioscopy abnormal
9221,oromandibular dystonia
9222,brachytherapy
9223,mediastinum neoplasm
9224,increased tendency to bruise
9226,cytapheresis
9227,drug dispensing issue
9229,diabetic gastroparesis
9230,gastrointestinal examination
9231,congenital spondylolisthesis
9232,chondrosarcoma recurrent
9233,interferon alpha level
9234,dacryolith
9235,tendon dislocation
9236,arthralgia
9237,testicular abscess
9238,masticatory pain
9239,branchial cyst
9240,instillation site complication
9241,arrhythmia supraventricular
9242,catheter site related reaction
9243,cleft palate repair
9244,inguinal hernia gangrenous
9245,blood parathyroid hormone increased
9246,tidal volume abnormal
9247,haemorrhage neonatal
9248,abdomen scan
9249,hyperoestrogenism
9250,n-terminal prohormone brain natriuretic peptide abnormal
9251,bacteroides bacteraemia
9252,von willebrand^s factor activity increased
9253,postpartum disorder
9254,phagocytosis
9255,transient ischemic attack
9256,anovulatory cycle
9257,salpingectomy
9258,cystocele
9260,gynaecological chlamydia infection
9261,carotid intima-media thickness increased
9262,hypocalciuria
9263,legionella serology
9264,documented hypersensitivity to administered drug
9265,urethral prolapse
9266,blood methanol increased
9267,varicella zoster pneumonia
9268,spondylosis
9269,platypnoea
9270,fallopian tube lesion excision
9271,pseudoendophthalmitis
9272,fluid balance positive
9273,pregnancy with injectable contraceptive
9274,macular fibrosis
9275,purpura non-thrombocytopenic
9276,injection site indentation
9277,vaccination site nodule
9278,methylenetetrahydrofolate reductase gene mutation
9279,nuclear magnetic resonance imaging thoracic abnormal
9280,dysbacteriosis
9281,rhinolithiasis
9282,intestinal sepsis
9283,shared psychotic disorder
9284,complement factor decreased
9285,encephalitis meningococcal
9286,renal hypertension
9287,pneumococcal infection
9288,pyruvate carboxylase deficiency
9289,carpus curvus
9290,porphyrinuria
9291,pharyngeal hypertrophy
9292,tumour thrombosis
9293,concentric sclerosis
9294,congenital aortic anomaly
9295,left atrial hypertrophy
9297,aneurysm arteriovenous
